Freq.	V(n002)
Step Information: N=1  (Step: 1/10)
1.00000000000000e+02	(-2.03237437550570e-05dB,-1.23945899252495e-01°)
1.01157945425990e+02	(-2.07971434296310e-05dB,-1.25381120567894e-01°)
1.02329299228075e+02	(-2.12815699426550e-05dB,-1.26832960802772e-01°)
1.03514216667934e+02	(-2.17772801462028e-05dB,-1.28301612389519e-01°)
1.04712854805090e+02	(-2.22845368616529e-05dB,-1.29787269988593e-01°)
1.05925372517729e+02	(-2.28036090455575e-05dB,-1.31290130514306e-01°)
1.07151930523761e+02	(-2.33347719072970e-05dB,-1.32810393160920e-01°)
1.08392691402120e+02	(-2.38783070730215e-05dB,-1.34348259429040e-01°)
1.09647819614319e+02	(-2.44345027322347e-05dB,-1.35903933152307e-01°)
1.10917481526240e+02	(-2.50036537776281e-05dB,-1.37477620524413e-01°)
1.12201845430196e+02	(-2.55860619748099e-05dB,-1.39069530126416e-01°)
1.13501081567232e+02	(-2.61820361243190e-05dB,-1.40679872954378e-01°)
1.14815362149688e+02	(-2.67918922082106e-05dB,-1.42308862447316e-01°)
1.16144861384034e+02	(-2.74159535761789e-05dB,-1.43956714515489e-01°)
1.17489755493953e+02	(-2.80545511095020e-05dB,-1.45623647568998e-01°)
1.18850222743702e+02	(-2.87080233907714e-05dB,-1.47309882546723e-01°)
1.20226443461741e+02	(-2.93767168986962e-05dB,-1.49015642945600e-01°)
1.21618600064637e+02	(-3.00609861691544e-05dB,-1.50741154850224e-01°)
1.23026877081238e+02	(-3.07611940092845e-05dB,-1.52486646962808e-01°)
1.24451461177139e+02	(-3.14777116662530e-05dB,-1.54252350633480e-01°)
1.25892541179417e+02	(-3.22109190423105e-05dB,-1.56038499890930e-01°)
1.27350308101666e+02	(-3.29612048838112e-05dB,-1.57845331473421e-01°)
1.28824955169314e+02	(-3.37289669933775e-05dB,-1.59673084860143e-01°)
1.30316677845230e+02	(-3.45146124391714e-05dB,-1.61522002302947e-01°)
1.31825673855641e+02	(-3.53185577709170e-05dB,-1.63392328858433e-01°)
1.33352143216333e+02	(-3.61412292417102e-05dB,-1.65284312420413e-01°)
1.34896288259166e+02	(-3.69830630317566e-05dB,-1.67198203752752e-01°)
1.36458313658893e+02	(-3.78445054798259e-05dB,-1.69134256522586e-01°)
1.38038426460289e+02	(-3.87260133243492e-05dB,-1.71092727333927e-01°)
1.39636836105594e+02	(-3.96280539358389e-05dB,-1.73073875761649e-01°)
1.41253754462276e+02	(-4.05511055820962e-05dB,-1.75077964385880e-01°)
1.42889395851111e+02	(-4.14956576596680e-05dB,-1.77105258826777e-01°)
1.44543977074593e+02	(-4.24622109667706e-05dB,-1.79156027779714e-01°)
1.46217717445672e+02	(-4.34512779713930e-05dB,-1.81230543050875e-01°)
1.47910838816821e+02	(-4.44633830736149e-05dB,-1.83329079593252e-01°)
