Freq.	V(n001)	V(n003)
1.00000000000000e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.27046807301096e-05dB,-1.40400075554507e-01°)
1.01157945425990e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.30006105614319e-05dB,-1.42025830272050e-01°)
1.02329299228075e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.33034334791603e-05dB,-1.43670410300916e-01°)
1.03514216667934e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.36133100303257e-05dB,-1.45334033611622e-01°)
1.04712854805090e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.39304045315608e-05dB,-1.47016920705980e-01°)
1.05925372517729e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.42548850951394e-05dB,-1.48719294642529e-01°)
1.07151930523761e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.45869237774846e-05dB,-1.50441381100126e-01°)
1.08392691402120e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.49266966283525e-05dB,-1.52183408327045e-01°)
1.09647819614319e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.52743837805165e-05dB,-1.53945607191848e-01°)
1.10917481526240e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.56301695992412e-05dB,-1.55728211297865e-01°)
1.12201845430196e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.59942427102502e-05dB,-1.57531456906848e-01°)
1.13501081567232e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.63667961704152e-05dB,-1.59355583040724e-01°)
1.14815362149688e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.67480275024747e-05dB,-1.61200831494306e-01°)
1.16144861384034e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.71381388310069e-05dB,-1.63067446835264e-01°)
1.17489755493953e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.75373370106894e-05dB,-1.64955676505889e-01°)
1.18850222743702e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.79458336870542e-05dB,-1.66865770721293e-01°)
1.20226443461741e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.83638454623565e-05dB,-1.68797982711106e-01°)
1.21618600064637e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.87915939563306e-05dB,-1.70752568579511e-01°)
1.23026877081238e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.92293059836302e-05dB,-1.72729787406999e-01°)
1.24451461177139e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.96772136030132e-05dB,-1.74729901212178e-01°)
1.25892541179417e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.01355543169618e-05dB,-1.76753175168021e-01°)
1.27350308101666e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.06045711314754e-05dB,-1.78799877436458e-01°)
1.28824955169314e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.10845127257969e-05dB,-1.80870279282842e-01°)
1.30316677845230e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.15756335729584e-05dB,-1.82964655139540e-01°)
1.31825673855641e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.20781940651494e-05dB,-1.85083282605896e-01°)
1.33352143216333e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.25924606786217e-05dB,-1.87226442511815e-01°)
1.34896288259166e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.31187060681996e-05dB,-1.89394418930457e-01°)
1.36458313658893e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.36572092418288e-05dB,-1.91587499152757e-01°)
1.38038426460289e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.42082557592344e-05dB,-1.93805973967282e-01°)
1.39636836105594e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.47721377608570e-05dB,-1.96050137380307e-01°)
1.41253754462276e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.53491542185846e-05dB,-1.98320286806614e-01°)
1.42889395851111e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.59396110948741e-05dB,-2.00616723196673e-01°)
1.44543977074593e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.65438214189405e-05dB,-2.02939750896666e-01°)
1.46217717445672e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.71621055885993e-05dB,-2.05289677851999e-01°)
1.47910838816821e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.77947913972757e-05dB,-2.07666815492759e-01°)
1.49623565609444e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.84422143204185e-05dB,-2.10071478962677e-01°)
1.51356124843621e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.91047176051918e-05dB,-2.12503986902801e-01°)
1.53108746168203e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.97826525298883e-05dB,-2.14964661807678e-01°)
1.54881661891249e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.04763785466597e-05dB,-2.17453829809023e-01°)
1.56675107010815e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.11862634531773e-05dB,-2.19971820802898e-01°)
1.58489319246112e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.19126836578329e-05dB,-2.22518968564160e-01°)
1.60324539069005e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.26560243080058e-05dB,-2.25095610695516e-01°)
1.62181009735893e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.34166795244059e-05dB,-2.27702088735616e-01°)
1.64058977319954e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.41950526180603e-05dB,-2.30338748133543e-01°)
1.65958690743757e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.49915562880130e-05dB,-2.33005938388708e-01°)
1.67880401812257e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.58066128392769e-05dB,-2.35704013012618e-01°)
1.69824365246175e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.66406544210366e-05dB,-2.38433329611510e-01°)
1.71790838715759e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.74941232619596e-05dB,-2.41194249962622e-01°)
1.73780082874938e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.83674718669346e-05dB,-2.43987140007761e-01°)
1.75792361395870e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.92611632986714e-05dB,-2.46812369929573e-01°)
1.77827941003893e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.01756713715478e-05dB,-2.49670314145107e-01°)
1.79887091512879e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.11114810055363e-05dB,-2.52561351547462e-01°)
1.81970085860999e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.20690883400129e-05dB,-2.55485865263994e-01°)
1.84077200146896e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.30490011243299e-05dB,-2.58444242942483e-01°)
1.86208713666287e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.40517389135946e-05dB,-2.61436876712884e-01°)
1.88364908948981e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.50778333550965e-05dB,-2.64464163206328e-01°)
1.90546071796325e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.61278284969145e-05dB,-2.67526503682257e-01°)
1.92752491319094e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.72022810367372e-05dB,-2.70624304009246e-01°)
1.94984459975805e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.83017606786888e-05dB,-2.73757974817579e-01°)
1.97242273611486e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.94268503590077e-05dB,-2.76927931429180e-01°)
1.99526231496889e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.05781466163754e-05dB,-2.80134594029260e-01°)
2.01836636368157e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.17562598648498e-05dB,-2.83378387608964e-01°)
